Your age:,Your gender:,"Are you currently enrolled in any educational institution, such as a school, college, or university? ",What is the highest level of education you have completed? ,Have you ever considered studying abroad? ,"  If yes, what level of education are you considering studying abroad?  ",What has motivated you to consider studying abroad? (Select all that apply)  ,Which of the following best describes how educational opportunities in Pakistan have impacted your career goals? ,"If given the chance, would you choose to study at a university in Pakistan or abroad, assuming both offer equal value in terms of education, opportunities, and scholarships?  ",Which aspects of life in Pakistan do you find most challenging? (Select all that apply)  ,What do you find most appealing about living abroad? (Select all that apply)  ,Do you think there are enough opportunities for personal and professional growth in Pakistan? ,Do you plan to seek employment opportunities abroad? ,"If you moved abroad, would you want to come back to Pakistan in future? ","If you were offered a competitive salary in Pakistan, would you consider migrating abroad for work?  ",How does the political and economic situation in Pakistan affect your thoughts on leaving the country? ,Do you know anyone abroad whose achievements or lifestyle has inspired you to move to another country?  ,Which countries have you thought about moving to? (Select all that apply)  ,What do you think is the biggest challenge of moving abroad?  (Select all that apply)     ,"If you were to move abroad, how would it affect your decision on where to marry?  "
21,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,"Social life and culture, Economic opportunities",Higher quality of life,"No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"Somewhat, it’s a factor","Yes, somewhat","United States, Canada, United Kingdom, Singapore",Leaving family and friends behind,
20,Female,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.","Do not align, considering alternatives",Abroad,Social life and culture,"Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,Yes,Unsure,Not sure,"Yes, somewhat","United States, Canada, Japan,Hungary,Russia","Adjusting to a new culture, Leaving family and friends behind",It depends on the circumstances.
20,Male,Yes,Bachelor's,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends.",No relevant opportunities found,Pakistan,Economic opportunities,Better job options,"Some, but not enough",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely","Germany, United Arab Emirates","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Do not align, considering alternatives",Pakistan,"Social life and culture, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,Yes,Unsure,"A lot, it encourages me to look abroad","No, not really","United States, Canada, Germany, Japan ","Adjusting to a new culture, Leaving family and friends behind",It depends on the circumstances.
20,Male,Yes,Bachelor's,Yes,Master's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.",Fully support my goals,Abroad,"Social life and culture, Safety and security, Cost of living","Better job options, Higher quality of life","Yes, there are plenty",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United Kingdom, Germany, New Zealand",Finding a job,I would prefer to return to Pakistan to marry.
19,Female,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Abroad,Economic opportunities,Better job options,"Some, but not enough",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Germany, United Arab Emirates","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure",Fully support my goals,Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities","Higher quality of life, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, definitely","United Kingdom, Germany, Singapore","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Female,Yes,A levels / Intermediate,Undecided,,"Better quality of education., Desire for international exposure",Fully support my goals,Pakistan,None of the above,Higher quality of life,"Some, but not enough",Undecided,Yes,Unsure,"Not much, it doesn’t influence me","No, not really",None of above,"Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Do not align, considering alternatives",Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities",Higher quality of life,"Some, but not enough",Yes,Yes,Yes,"Somewhat, it’s a factor","Yes, somewhat","United States, Canada, Australia, United Kingdom, Germany, New Zealand, United Arab Emirates, Singapore","Finding a job, Adjusting to a new culture, Legal and immigration issues",It depends on the circumstances.
28,Female,Yes,PhD,Yes,PhD,Desire for international exposure,Fully support my goals,Abroad,Economic opportunities,New cultural experiences,"No, very few opportunities",Yes,No,Yes,"Not much, it doesn’t influence me","Yes, somewhat","United States, Canada",Legal and immigration issues,I would prefer to marry abroad.
19,Female,Yes,A levels / Intermediate,Undecided,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Pakistan,"Social life and culture, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",No,Yes,Unsure,"Somewhat, it’s a factor","No, not really",Turkey,"Finding a job, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,Bachelor's,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Pakistan,"Social life and culture, Cost of living, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Undecided,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Germany","Finding a job, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
28,Male,Yes,Master's,Yes,Master's,"Better quality of education., More career opportunities after graduation.",No relevant opportunities found,Pakistan,Cost of living,Higher quality of life,"Some, but not enough",Yes,"Maybe, depends on circumstances",No,Not sure,"Yes, definitely",Australia,Legal and immigration issues,It depends on the circumstances.
21,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Do not align, considering alternatives",Pakistan,"Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Australia, United Arab Emirates","Finding a job, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Undecided,Master's,More career opportunities after graduation.,Unsure of the impact,Unsure,None of the above,None of above,Unsure,Undecided,Yes,Unsure,Not sure,Unsure,None of above,Leaving family and friends behind,I’m unsure.
19,Female,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Pakistan,"Safety and security, Economic opportunities",New cultural experiences,"No, very few opportunities",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, United Arab Emirates, Malaysia, Middle East. ","Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Abroad,Economic opportunities,"Better job options, Higher quality of life","No, very few opportunities",Yes,No,No,"Somewhat, it’s a factor","Yes, definitely","United States, Canada",For better job opportunities & a quality lifestyle,I would prefer to marry abroad.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends.",Unsure of the impact,Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom",Adjusting to a new culture,It depends on the circumstances.
20,Male,Yes,Bachelor's,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,"Cost of living, Economic opportunities",Better job options,"Some, but not enough",Yes,No,No,"Somewhat, it’s a factor","Yes, definitely","United Kingdom, Germany, Singapore","Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
19,Male,Yes,Bachelor's,No,,,"Somewhat align, but lacking",Pakistan,Cost of living,Higher quality of life,"No, very few opportunities",Yes,Yes,No,"Somewhat, it’s a factor","No, not really",None of above,Leaving family and friends behind,It depends on the circumstances.
21,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Pakistan,"Social life and culture, Safety and security",Higher quality of life,"Yes, there are plenty",Undecided,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, somewhat","kanjar alag lines pe likh , phr canada usa aik line pe likh dia dagar dalle","Legal and immigration issues, Leaving family and friends behind",I would prefer to marry abroad.
20,Male,Yes,A levels / Intermediate,No,,,"Somewhat align, but lacking",Abroad,"Social life and culture, Safety and security",Peace,"Some, but not enough",Yes,No,Yes,"Not much, it doesn’t influence me","No, not really","Germany, New Zealand, Singapore, Finland, Scotland",NaN,I would prefer to marry abroad.
18,Male,Yes,A levels / Intermediate,No,,More career opportunities after graduation.,"Somewhat align, but lacking",Abroad,"Social life and culture, Cost of living",Higher quality of life,"No, very few opportunities",Yes,No,Yes,"Somewhat, it’s a factor","Yes, definitely","United States, Canada, Germany",Legal and immigration issues,I would prefer to return to Pakistan to marry.
